generation,fitness
0,0.00154081
1,0.00164381
2,0.00175491
3,0.00192332
4,0.00192332
5,0.00196143
6,0.00209042
7,0.00209042
8,0.00209042
9,0.0020957
10,0.0021078
11,0.00217471
12,0.00217471
13,0.00223071
14,0.00223071
15,0.00225795
16,0.00225795
17,0.00225795
18,0.00225795
19,0.00225795
20,0.00229522
21,0.0023669
22,0.00243036
23,0.00243036
24,0.00243036
25,0.00244501
26,0.0025192
27,0.00256672
28,0.00264557
29,0.00264557
30,0.00273526
31,0.00273661
32,0.00273661
33,0.00277644
34,0.00277644
35,0.00277644
36,0.00277644
37,0.00277644
38,0.00277644
39,0.00277644
40,0.00277644
41,0.00277644
42,0.00277644
43,0.00277644
44,0.00277644
45,0.00277644
46,0.00282907
47,0.00282907
48,0.00282907
49,0.00282907
50,0.00282907
51,0.00282907
52,0.00282907
53,0.00282907
54,0.00284035
55,0.00284035
56,0.00284035
57,0.00284035
58,0.00284035
59,0.00284035
60,0.00284035
61,0.00288095
62,0.00288095
63,0.00288095
64,0.00288095
65,0.00288095
66,0.00288095
67,0.00288095
68,0.00288095
69,0.00289119
70,0.00289119
71,0.00289119
72,0.00289119
73,0.00289119
74,0.00289119
75,0.00289119
76,0.00289119
77,0.00289119
78,0.00289119
79,0.00289119
80,0.00289119
81,0.00289119
82,0.00289119
83,0.00289119
84,0.00289119
85,0.00289119
86,0.00289119
87,0.00289119
88,0.00289119
89,0.00289119
90,0.00289119
91,0.00289119
92,0.00289119
93,0.00289119
94,0.00289119
95,0.00289119
96,0.00289119
97,0.00289119
98,0.00289119
99,0.00289119
100,0.00289119
101,0.00289119
102,0.00289119
103,0.00289119
104,0.00289119
105,0.00289119
106,0.00289119
107,0.00289119
108,0.00289119
109,0.00289119
110,0.00289119
111,0.00289119
112,0.00289119
113,0.00289119
114,0.00289119
115,0.00289119
116,0.00289119
117,0.00289119
118,0.00289119
119,0.00289119
120,0.00289119
121,0.00289119
122,0.00289119
123,0.00289119
124,0.00289119
125,0.00289119
126,0.00289119
127,0.00289119
128,0.00289119
129,0.00289119
130,0.00289119
131,0.00289119
132,0.00289119
133,0.00289119
134,0.00289119
135,0.00289119
136,0.00289119
137,0.00289119
138,0.00289119
