generation,fitness
0,0.000360974
1,0.000379605
2,0.000389462
3,0.000401695
4,0.000411023
5,0.000419976
6,0.000425012
7,0.00044011
8,0.000447688
9,0.000447688
10,0.000450766
11,0.000462413
12,0.000462413
13,0.000498708
14,0.000498708
15,0.000498708
16,0.000508312
17,0.000508312
18,0.000512067
19,0.00051216
20,0.00051216
21,0.000532322
22,0.000532322
23,0.000533462
24,0.000545874
25,0.000545874
26,0.000546222
27,0.00055078
28,0.000554056
29,0.000561778
30,0.000578943
31,0.000578943
32,0.000578943
33,0.000578943
34,0.000578943
35,0.000583864
36,0.000583864
37,0.000584266
38,0.00061272
39,0.00061272
40,0.00061669
41,0.00061669
42,0.00061669
43,0.000646233
44,0.000646233
45,0.000646233
46,0.000646233
47,0.000646233
48,0.000646233
49,0.000646233
50,0.000646233
51,0.000646233
52,0.000646233
53,0.000646233
54,0.000646233
55,0.000646233
56,0.000654337
57,0.000654337
58,0.000654337
59,0.000654337
60,0.000683837
61,0.000683837
62,0.000683837
63,0.000683837
64,0.000683837
65,0.000683837
66,0.000683837
67,0.000683837
68,0.000683837
69,0.000683837
70,0.000683837
71,0.000683837
72,0.000697101
73,0.000697101
74,0.000697101
75,0.000697101
76,0.000712747
77,0.000712747
78,0.000712747
79,0.000712747
80,0.000712747
81,0.000712747
82,0.000749875
83,0.000749875
84,0.000749875
85,0.000749875
86,0.000749875
87,0.000749875
88,0.000749875
89,0.000749875
90,0.000749875
91,0.000749875
92,0.000749875
93,0.000749875
94,0.000749875
95,0.000749875
96,0.000749875
97,0.000749875
98,0.000749875
99,0.000749875
100,0.000749875
101,0.000749875
102,0.000749875
103,0.000749875
104,0.000749875
105,0.000749875
106,0.000749875
107,0.000749875
108,0.000749875
109,0.000749875
110,0.000753216
111,0.000753216
112,0.000753216
113,0.000753216
114,0.000753216
115,0.000753216
116,0.000753216
117,0.000753216
118,0.000753216
119,0.000753216
120,0.0007647
121,0.0007647
122,0.0007647
123,0.0007647
124,0.0007647
125,0.0007647
126,0.0007647
127,0.0007647
128,0.000769873
129,0.000769873
130,0.000769873
131,0.000769873
132,0.000769873
133,0.000797153
134,0.000797153
135,0.000797153
136,0.000797153
137,0.000797153
138,0.000797153
139,0.000797153
140,0.0008002
141,0.0008002
142,0.0008002
143,0.0008002
144,0.0008002
145,0.0008002
146,0.0008002
147,0.0008002
148,0.0008002
149,0.0008002
150,0.0008002
151,0.0008002
152,0.0008002
153,0.0008002
154,0.0008002
155,0.0008002
156,0.0008002
157,0.0008002
158,0.0008002
159,0.0008002
160,0.0008002
161,0.0008002
162,0.0008002
163,0.0008002
164,0.0008002
165,0.000804061
166,0.000808145
167,0.000828741
168,0.000828741
169,0.000828741
170,0.000828741
171,0.000828741
172,0.000828741
173,0.000828741
174,0.000828741
175,0.000828741
176,0.000828741
177,0.000828741
178,0.000828741
179,0.000828741
180,0.000828741
181,0.000828741
182,0.000828741
183,0.000828741
184,0.000828741
185,0.000828741
186,0.000828741
187,0.000828741
188,0.000828741
189,0.000828741
190,0.00086197
191,0.000865949
192,0.000865949
193,0.000865949
194,0.000865949
195,0.000865949
196,0.000884343
197,0.000884343
198,0.000884343
199,0.000884343
200,0.00093216
201,0.00093216
202,0.00093216
203,0.00093216
204,0.00093216
205,0.00093216
206,0.00093216
207,0.00093216
208,0.00093216
209,0.00094584
210,0.00094584
211,0.00094584
212,0.00094584
213,0.00094584
214,0.00094584
215,0.00094584
216,0.00094584
217,0.00094584
218,0.00094584
219,0.00094584
220,0.00094584
221,0.00094584
222,0.00094584
223,0.00094584
224,0.00094584
225,0.00094584
226,0.00094584
227,0.00094584
228,0.00094584
229,0.00094584
230,0.00094584
231,0.00094584
232,0.00094584
233,0.00094584
234,0.00094584
235,0.000956387
236,0.000956387
237,0.000956387
238,0.000956387
239,0.000956387
240,0.000956387
241,0.000956387
242,0.000956387
243,0.000956387
244,0.000956387
245,0.000956387
246,0.000956387
247,0.000956387
248,0.000956387
249,0.000956387
250,0.000956387
251,0.000956387
252,0.000956387
253,0.000956387
254,0.000956387
255,0.000956387
256,0.000956387
257,0.000956387
258,0.000956387
259,0.000956387
260,0.000956387
261,0.000956387
262,0.000956387
263,0.000956387
264,0.000956387
265,0.000956387
266,0.000956387
267,0.000956387
268,0.000956387
269,0.000956387
270,0.000956387
271,0.000956387
272,0.000956387
273,0.000956387
274,0.000956387
275,0.000956387
276,0.000976038
277,0.000976038
278,0.000976038
279,0.000976038
280,0.000976038
281,0.000976038
282,0.000976038
283,0.000979243
284,0.000979243
285,0.000983539
286,0.000991719
287,0.000991719
288,0.000997927
289,0.00102388
290,0.00105623
291,0.00105623
292,0.00105623
293,0.00105623
294,0.00105623
295,0.00105623
296,0.00105623
297,0.00105623
298,0.00105623
299,0.00105623
300,0.00105623
301,0.00105623
302,0.00105623
303,0.00111064
304,0.00111064
305,0.00113124
306,0.00113124
307,0.00113124
308,0.00113124
309,0.00113124
310,0.00113124
311,0.00113124
312,0.00113124
313,0.00113124
314,0.00113124
315,0.00113124
316,0.00113124
317,0.00113124
318,0.00113124
319,0.00113124
320,0.00113124
321,0.00113124
322,0.00113124
323,0.00113124
324,0.00113124
